Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Number of Males,Number of Females,Average Age,Local Authority
63N1132,430764,438435,2,23/3/2019,13:45,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,5,17,E08000035
63O0092,430833,433959,2,24/3/2019,2:08,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,0,1,70,E08000035
63O1413,427703,434718,2,24/3/2019,17:09,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,20,E08000035
63P0259,429149,431792,2,25/3/2019,8:10,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,28,E08000035
63P0593,429873,427362,2,25/3/2019,8:55,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,8,E08000035
63P0891,429964,434206,2,25/3/2019,13:46,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,19,E08000035
63P1148,424913,433473,1,25/3/2019,15:45,Unclassified,Dry,Daylight,Fine,Motorcycle-unkown cc,Pedestrian,Slight,0,1,5,E08000035
63P1153,431251,428894,2,25/3/2019,15:46,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,18,E08000035
63P1671,431614,429961,1,25/3/2019,19:00,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,36,E08000035
63P1965,435960,435772,2,25/3/2019,21:22,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,45,E08000035
63P2126,431818,435608,5,25/3/2019,23:27,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,32,E08000035
63P2126,431818,435608,5,25/3/2019,23:27,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,32,E08000035
63Q1266,427700,431038,1,26/3/2019,17:00,Motorway,Dry,Daylight,Fine,Goods Vehicle(7.5 tonnes mgw or more),Pedestrian,Slight,0,1,18,E08000035
63Q1269,434393,428822,1,26/3/2019,15:30,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,2,E08000035
63R0138,429848,432292,2,27/3/2019,3:08,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,3,0,45,E08000035
63R0138,429848,432292,2,27/3/2019,3:08,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,0,45,E08000035
63R0138,429848,432292,2,27/3/2019,3:08,Unclassified,Dry,Dark (lit street),Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,3,0,45,E08000035
63R0652,424055,439077,3,27/3/2019,11:59,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,73,E08000035
63R1342,430798,432390,1,27/3/2019,17:50,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,24,E08000035
63R1576,427583,433915,1,27/3/2019,19:46,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(50cc-125cc),Pedestrian,Serious,1,0,18,E08000035
63R1643,429852,432291,2,27/3/2019,20:08,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,22,E08000035
63S0868,435715,434719,2,28/3/2019,9:20,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,57,E08000035
63S1164,431462,432136,2,17/3/2019,18:25,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Driver/Rider,Slight,1,0,41,E08000035
63S1177,437157,445577,2,28/3/2019,16:16,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,36,E08000035
63S1268,420069,440808,2,28/3/2019,16:53,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,57,E08000035
63S1320,437097,444135,3,28/3/2019,16:15,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,57,E08000035
63T0981,434819,434613,1,29/3/2019,10:00,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,67,E08000035
63T1018,429481,433783,2,29/3/2019,9:00,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,69,E08000035
63T1240,427019,433105,1,29/3/2019,13:15,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,24,E08000035
63T1255,426820,437994,2,29/3/2019,15:45,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,64,E08000035
63U0448,433652,441921,2,30/3/2019,8:33,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Vehicle Passenger,Serious,1,0,56,E08000035
63U0509,426206,427501,2,29/3/2019,9:30,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,28,E08000035
63U0661,436096,434804,2,30/3/2019,11:10,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,12,E08000035
63U0703,420866,434619,3,30/3/2019,11:35,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,1,24,E08000035
63U0703,420866,434619,3,30/3/2019,11:35,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,1,24,E08000035
63U0703,420866,434619,3,30/3/2019,11:35,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Serious,2,1,24,E08000035
63U0999,427503,429774,2,30/3/2019,14:16,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,0,18,E08000035
63U0999,427503,429774,2,30/3/2019,14:16,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,3,0,18,E08000035
63U0999,427503,429774,2,30/3/2019,14:16,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,3,0,18,E08000035
63U1051,425247,435203,2,30/3/2019,14:44,Unclassified,Dry,Daylight,Fine,Motorcycle(125cc-500cc),Driver/Rider,Serious,1,0,27,E08000035
63U1229,421772,435301,2,30/3/2019,16:00,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,37,E08000035
63U1271,429158,431642,2,30/3/2019,16:15,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,1,24,E08000035
63U2106,431157,436395,3,30/3/2019,22:59,Road,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,0,1,63,E08000035
63V0466,442620,427049,2,31/3/2019,9:30,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,48,E08000035
63V0490,441119,449123,2,31/3/2019,10:02,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,46,E08000035
63V0870,427079,426116,2,31/3/2019,14:12,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,22,E08000035
63V0870,427079,426116,2,31/3/2019,14:12,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,22,E08000035
6420668,430069,433832,1,2/4/2019,13:00,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,30,E08000035
6420862,424190,434807,1,2/4/2019,13:40,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,13,E08000035
6420931,431929,433576,2,2/4/2019,14:20,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc or less),Driver/Rider,Slight,1,0,60,E08000035
6421371,422376,433974,3,2/4/2019,17:33,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,28,E08000035
6421535,429026,437513,2,2/4/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,28,E08000035
6421535,429026,437513,2,2/4/2019,19:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,28,E08000035
6430559,426465,435683,2,3/4/2019,10:45,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,29,E08000035
6431196,428979,429107,6,3/4/2019,16:40,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,3,28,E08000035
6431196,428979,429107,6,3/4/2019,16:40,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,3,28,E08000035
6431196,428979,429107,6,3/4/2019,16:40,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,3,28,E08000035
6431196,428979,429107,6,3/4/2019,16:40,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,3,28,E08000035
6431622,426954,433362,3,5/4/2019,20:11,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,20,E08000035
6431622,426954,433362,3,5/4/2019,20:11,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,1,20,E08000035
6431857,432523,427557,2,3/4/2019,22:44,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,30,E08000035
6431857,432523,427557,2,3/4/2019,22:44,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,30,E08000035
6440668,430741,430567,2,4/4/2019,12:00,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,37,E08000035
6441787,439321,426151,2,4/4/2019,21:05,Unclassified,Dry,Unknown,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,14,E08000035
6450026,428610,434848,1,15/4/2019,0:28,Unclassified,Dry,Unknown,Fine,Car,Driver/Rider,Slight,1,0,32,E08000035
6450727,433150,432309,2,5/4/2019,9:00,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,33,E08000035
6450748,433391,434069,2,5/4/2019,13:02,Unclassified,Dry,Daylight,Fine,Mobility Scooter,Driver/Rider,Serious,1,0,76,E08000035
6451155,427466,436555,2,5/4/2019,16:05,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,21,E08000035
6451187,427127,434793,1,5/4/2019,0:00,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,0,1,31,E08000035
6451401,426484,433523,1,5/4/2019,17:30,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Serious,0,1,62,E08000035
6451833,427834,433379,1,5/4/2019,21:05,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Serious,1,0,18,E08000035
6460911,433742,426701,2,6/4/2019,15:30,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,48,E08000035
6460934,429816,434406,2,5/4/2019,15:00,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,42,E08000035
6461067,424577,435158,2,6/4/2019,14:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,35,E08000035
6461129,428981,425982,4,6/4/2019,15:20,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,8,E08000035
6461129,428981,425982,4,6/4/2019,15:20,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,8,E08000035
6461245,435794,425983,2,6/4/2019,16:09,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,32,E08000035
6461245,435794,425983,2,6/4/2019,16:09,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,32,E08000035
6461252,432254,434690,2,6/4/2019,16:07,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,50,E08000035
6461383,427465,431903,3,6/4/2019,17:10,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,27,E08000035
6470548,430511,425152,2,7/4/2019,10:02,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,85,E08000035
6471311,430477,435598,2,6/4/2019,18:00,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,16,E08000035
6480737,430124,433381,1,8/4/2019,16:55,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Slight,1,0,29,E08000035
6490130,430241,433266,1,9/4/2019,2:38,Unclassified,Dry,Dark (lit street),Fine,Taxi/Private car,Pedestrian,Serious,0,1,41,E08000035
6490667,427209,430643,2,15/2/2019,14:45,Motorway,Unknown,Daylight,Unknown,Car,Driver/Rider,Slight,1,0,65,E08000035
6491025,430814,433937,2,9/4/2019,15:29,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,13,E08000035
6491786,424900,437958,2,9/4/2019,7:45,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,1,38,E08000035
64A0440,428799,430468,2,10/4/2019,10:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,32,E08000035
64A0745,429048,432363,2,10/4/2019,13:40,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,21,E08000035
64A0845,431114,435189,3,10/4/2019,14:30,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,18,E08000035
64A0845,431114,435189,3,10/4/2019,14:30,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,18,E08000035
64A1133,432731,427497,2,10/4/2019,16:44,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,29,E08000035
64A1283,431383,424983,3,10/4/2019,17:47,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,30,E08000035
64B0593,424578,435157,1,11/4/2019,10:50,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,80,E08000035
64B0983,424158,428190,2,11/4/2019,15:03,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,43,E08000035
64C0352,424647,428146,1,12/4/2019,8:12,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Serious,1,0,26,E08000035
64C1093,430631,433738,1,12/4/2019,14:50,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,1,0,8,E08000035
64C1240,430838,433997,2,12/4/2019,12:40,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,42,E08000035
64C1583,427676,435058,2,12/4/2019,17:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,24,E08000035
64C1909,437565,429652,3,12/4/2019,20:45,Unclassified,Dry,Dark (unknown lighting),Fine,Car,Driver/Rider,Serious,1,0,39,E08000035
64C1992,425911,436694,2,12/4/2019,21:26,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(125cc-500cc),Driver/Rider,Serious,1,0,39,E08000035
64D0428,443344,439007,2,13/4/2019,7:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,28,E08000035
64D0571,433869,434042,2,13/4/2019,9:35,Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,31,E08000035
64D0578,431652,430543,2,15/4/2019,9:56,Motorway,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,36,E08000035
64D1062,425309,440914,2,13/4/2019,14:30,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,10,E08000035
64E0809,445374,431776,4,14/4/2019,13:00,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,3,26,E08000035
64E0809,445374,431776,4,14/4/2019,13:00,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,3,26,E08000035
64E0809,445374,431776,4,14/4/2019,13:00,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,3,26,E08000035
64E0809,445374,431776,4,14/4/2019,13:00,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,3,26,E08000035
64E0809,445374,431776,4,14/4/2019,13:00,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,3,26,E08000035
64E1157,435512,434799,1,13/4/2019,21:40,Unclassified,Dry,Unknown,Fine,Car,Pedestrian,Slight,1,0,58,E08000035
64E1312,428454,428617,1,14/4/2019,17:47,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,27,E08000035
64F0861,422439,427907,2,15/4/2019,13:44,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,30,E08000035
64F0861,422439,427907,2,15/4/2019,13:44,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,30,E08000035
64F1131,430350,434777,1,15/4/2019,15:15,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,1,E08000035
64F1318,430054,431089,2,15/4/2019,16:55,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,25,E08000035
64F1418,431295,435614,1,15/4/2019,17:49,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,3,E08000035
64F1424,432136,433587,3,15/4/2019,17:50,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,22,E08000035
64F1858,435873,436373,2,15/4/2019,16:15,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,42,E08000035
64F1858,435873,436373,2,15/4/2019,16:15,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,42,E08000035
64G0751,428541,431539,2,16/4/2019,12:10,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,25,E08000035
64G1156,430860,434162,2,16/4/2019,15:47,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,33,E08000035
64G1985,439327,432427,1,16/4/2019,22:30,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,30,E08000035
64H0576,426008,428229,3,17/4/2019,11:55,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,18,E08000035
64H0989,429538,431090,1,17/4/2019,15:20,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,14,E08000035
64H1247,430431,437061,1,17/4/2019,16:45,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,48,E08000035
64H1278,437614,429691,2,17/4/2019,17:15,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,26,E08000035
64H1984,425093,431059,2,17/4/2019,22:35,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,43,E08000035
64I0578,431257,429730,3,18/4/2019,11:26,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,22,E08000035
64I0916,431655,435326,2,18/4/2019,13:00,Non - Primary Road,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,37,E08000035
64I1714,427172,433659,2,18/4/2019,19:46,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(125cc-500cc),Driver/Rider,Serious,1,0,39,E08000035
64J1195,431890,435661,1,19/4/2019,15:00,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,17,E08000035
64J1297,430063,433772,1,19/4/2019,17:33,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,20,E08000035
64J1607,428933,425983,2,19/4/2019,19:45,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,20,E08000035
64J1607,428933,425983,2,19/4/2019,19:45,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,20,E08000035
64J1611,429536,434221,1,19/4/2019,19:52,Primary Motorway,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,50,E08000035
64J2152,428503,434474,2,19/4/2019,23:15,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,23,E08000035
64K0683,419534,441610,1,20/4/2019,11:16,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,12,E08000035
64K1177,421553,435972,1,20/4/2019,15:33,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,2,13,E08000035
64K1177,421553,435972,1,20/4/2019,15:33,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,2,13,E08000035
64K1301,430736,435008,2,20/4/2019,16:20,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,74,E08000035
64K1887,422673,437258,2,20/4/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,1,27,E08000035
64K1887,422673,437258,2,20/4/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,1,27,E08000035
64K1887,422673,437258,2,20/4/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,1,27,E08000035
64K1887,422673,437258,2,20/4/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,3,1,27,E08000035
64L0636,435429,439804,2,21/4/2019,10:35,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Serious,1,3,58,E08000035
64L0636,435429,439804,2,21/4/2019,10:35,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Serious,1,3,58,E08000035
64L0636,435429,439804,2,21/4/2019,10:35,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,3,58,E08000035
64L0636,435429,439804,2,21/4/2019,10:35,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,3,58,E08000035
64L1614,431402,435029,2,21/4/2019,19:00,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,28,E08000035
64L2009,431887,435026,1,21/4/2019,21:41,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,11,E08000035
64M0068,430937,433301,1,22/4/2019,1:06,Non - Primary Road,Dry,Dark (lit street),Fine,Other vehicle,Pedestrian,Slight,1,0,26,E08000035
64M0593,442111,427617,3,22/4/2019,10:47,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,0,1,47,E08000035
64M1425,423084,434894,2,22/4/2019,18:03,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,22,E08000035
64M1940,433982,433995,1,22/4/2019,21:40,Road,Dry,Daylight,Fine,Motorcycle(125cc-500cc),Driver/Rider,Slight,1,0,17,E08000035
64M1979,435188,435710,1,22/4/2019,19:40,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,69,E08000035
64M2018,431422,435057,1,21/4/2019,21:46,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Serious,1,0,31,E08000035
64N0429,430524,437028,3,23/4/2019,10:21,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
64N0429,430524,437028,3,23/4/2019,10:21,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
64N0502,435638,425906,2,23/4/2019,8:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,38,E08000035
64N1196,424899,434907,2,23/4/2019,17:10,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,20,E08000035
64N1223,436751,433643,1,23/4/2019,18:04,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,64,E08000035
64O0459,424992,432896,2,24/4/2019,9:30,Road,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,52,E08000035
64O0487,432133,429422,2,25/4/2019,10:23,Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,2,0,42,E08000035
64O0487,432133,429422,2,25/4/2019,10:23,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,42,E08000035
64O0902,433271,429060,2,24/4/2019,14:20,Unclassified,Dry,Daylight,Fine,Motorcycle(125cc-500cc),Vehicle Passenger,Slight,1,0,19,E08000035
64O1102,429895,433695,1,29/4/2019,11:02,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,34,E08000035
64O1385,432240,435018,2,24/4/2019,18:02,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
64O1385,432240,435018,2,24/4/2019,18:02,Unclassified,Wet/Damp,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,40,E08000035
64P1380,424005,434533,2,25/4/2019,15:56,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,9,E08000035
64P1588,427722,434064,3,25/4/2019,20:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,30,E08000035
64Q0247,431398,435816,1,26/4/2019,9:00,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,4,E08000035
64Q0376,429675,433381,1,26/4/2019,8:58,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Slight,0,1,26,E08000035
64Q0504,424143,428165,2,26/4/2019,10:25,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,55,E08000035
64Q0881,430870,435486,2,31/3/2019,17:00,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,77,E08000035
64Q0907,428345,431276,1,26/4/2019,14:00,Unclassified,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Slight,1,0,54,E08000035
64Q1025,423816,438093,1,26/4/2019,14:55,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Serious,0,1,81,E08000035
64Q1276,428142,435848,2,26/4/2019,16:56,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,29,E08000035
64Q1683,430325,433305,1,26/4/2019,20:00,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,1,0,36,E08000035
64R0558,423890,434278,2,25/4/2019,13:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,40,E08000035
64R0883,429241,427955,1,27/4/2019,13:40,Unclassified,Wet/Damp,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,1,0,6,E08000035
64S0678,442620,428001,3,28/4/2019,11:50,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,1,59,E08000035
64S0678,442620,428001,3,28/4/2019,11:50,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,59,E08000035
64S1645,427947,435947,1,28/4/2019,16:45,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,1,0,37,E08000035
64S1947,428219,436262,1,28/4/2019,22:48,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,18,E08000035
64T0006,435513,433299,1,29/4/2019,0:05,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Serious,0,1,25,E08000035
